,person,mask_ratio,run_name,split,epoch,optimizer_step,learning_rate,metric,value
47,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,5.096,800,0.0005,ssim_loss,0.00044777647126466037
48,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,5.732,900,0.0005,objective_loss,0.00023101477447198704
49,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,5.732,900,0.0005,smooth_l1,1.1132469569474778e-06
50,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,5.732,900,0.0005,ssim_loss,0.0004609163012355566
51,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,5.732,900,0.0005,objective_loss,0.00019890877074431047
52,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,5.732,900,0.0005,smooth_l1,8.571283839131638e-07
53,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,5.732,900,0.0005,ssim_loss,0.00039696041494607925
54,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,6.369,1000,0.0005,objective_loss,0.00020691744015493896
55,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,6.369,1000,0.0005,smooth_l1,9.575007348416876e-07
56,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,6.369,1000,0.0005,ssim_loss,0.0004128773789852858
57,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,6.369,1000,0.0005,objective_loss,0.00017286285064983532
58,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,6.369,1000,0.0005,smooth_l1,5.948310498382625e-07
59,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,6.369,1000,0.0005,ssim_loss,0.00034513087011873723
60,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,7.006,1100,0.0005,objective_loss,0.0001757156109670177
61,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,7.006,1100,0.0005,smooth_l1,6.897668924921163e-07
62,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,7.006,1100,0.0005,ssim_loss,0.00035074145533144476
63,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,7.006,1100,0.0005,objective_loss,0.00015562645562567924
64,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,7.006,1100,0.0005,smooth_l1,4.820957402174031e-07
65,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,7.006,1100,0.0005,ssim_loss,0.0003107708180323243
66,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,7.643,1200,0.0005,objective_loss,0.00016753048381360714
67,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,7.643,1200,0.0005,smooth_l1,6.291772400857099e-07
68,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,7.643,1200,0.0005,ssim_loss,0.0003344317898154259
69,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,7.643,1200,0.0005,objective_loss,0.00014338121040964326
70,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,7.643,1200,0.0005,smooth_l1,4.072715647396308e-07
71,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,7.643,1200,0.0005,ssim_loss,0.0002863551490008831
72,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,8.28,1300,0.0005,objective_loss,0.0001552852662280202
73,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,8.28,1300,0.0005,smooth_l1,6.523927787327465e-07
74,leslie,0.0,train_mae_medium_leslie_mask_0.0,training,8.28,1300,0.0005,ssim_loss,0.00030991814099252225
75,leslie,0.0,train_mae_medium_leslie_mask_0.0,validation,8.28,1300,0.0005,objective_loss,0.00013451183099277841
